timestamp,saturation_status
160000,1533
168000,1533
172000,1533
176000,1533
180000,1533
184000,1533
188000,1533
192000,1533
196000,1533
200000,1533
208000,1533
212000,1533
220000,1533
224000,1533
228000,1533
236000,1533
240000,1533
244000,1533
248000,1533
252000,1533
256000,1533
264000,1533
268000,1533
276000,1533
280000,1533
284000,1533
292000,1533
296000,1533
300000,1533
304000,1533
308000,1533
312000,1533
320000,1533
324000,1533
328000,1533
336000,1533
340000,1533
344000,1533
348000,1533
356000,1533
364000,1533
372000,1533
376000,1533
380000,1533
388000,1533
392000,1533
400000,1533
404000,1533
408000,1533
412000,1533
416000,1533
420000,1533
428000,1533
432000,1533
440000,1533
444000,1533
452000,1533
456000,1533
460000,1533
464000,1533
468000,1533
472000,1533
480000,1533
488000,1533
492000,1533
496000,1533
500000,1533
508000,1533
512000,1533
516000,1533
524000,1533
528000,1533
532000,1533
536000,1533
540000,1533
548000,1533
556000,1533
560000,1533
564000,1533
568000,1533
572000,1533
576000,1533
580000,1533
584000,1533
592000,1533
596000,1533
600000,1533
604000,1533
612000,1533
616000,1533
620000,1533
624000,1533
628000,1533
632000,1533
636000,1533
640000,1533
644000,1533
648000,1533
656000,1533
660000,1533
664000,1533
672000,1533
676000,1533
680000,1533
684000,1533
688000,1533
696000,1533
700000,1533
708000,1533
712000,1533
716000,1533
720000,1533
724000,1533
728000,1533
732000,1533
740000,1533
744000,1533
748000,1533
752000,1533
756000,1533
760000,1533
764000,1533
768000,1533
772000,1533
776000,1533
780000,1533
788000,1533
792000,1533
796000,1533
800000,1533
804000,1533
812000,1533
816000,1533
820000,1533
824000,1533
828000,1533
836000,1533
840000,1533
844000,1533
848000,1533
856000,1533
860000,1533
868000,1533
876000,1533
880000,1533
884000,1533
888000,1533
896000,1533
904000,1533
908000,1533
912000,1533
920000,1533
924000,1533
928000,1533
932000,1533
936000,1533
940000,1533
948000,1533
952000,1533
956000,1533
960000,1533
964000,1533
972000,1533
980000,1533
984000,1533
992000,1533
1000000,1533
1004000,1533
1008000,1533
1012000,1533
1016000,1533
1024000,1533
1028000,1533
1036000,1533
1040000,1533
1044000,1533
1048000,1533
1052000,1533
1056000,1533
1064000,1533
1072000,1533
1080000,1533
1084000,1533
1092000,1533
1096000,1533
1100000,1533
1108000,1533
1116000,1533
1120000,1533
1124000,1533
1128000,1533
1132000,1533
1140000,1533
1144000,1533
1148000,1533
1152000,1533
1156000,1533
1164000,1533
1168000,1533
1172000,1533
1176000,1533
1184000,1533
1192000,1533
1196000,1533
1200000,1533
1204000,1533
1212000,1533
1216000,1533
1224000,1533
1228000,1533
1232000,1533
1236000,1533
1240000,1533
1244000,1533
1248000,1533
1252000,1533
1256000,1533
1260000,1533
1264000,1533
1272000,1533
1280000,1533
1284000,1533
1288000,1533
1292000,1533
1296000,1533
1304000,1533
1312000,1533
1320000,1533
1328000,1533
1332000,1533
1336000,1533
1344000,1533
1348000,1533
1352000,1533
1356000,1533
1360000,1533
1368000,1533
1372000,1533
1380000,1533
1388000,1533
1392000,1533
1396000,1533
1400000,1533
1404000,1533
1408000,1533
1412000,1533
1420000,1533
1428000,1533
1432000,1533
1436000,1533
1444000,1533
1448000,1533
1452000,1533
1456000,1533
1460000,1533
1468000,1533
1472000,1533
1476000,1533
1480000,1533
1484000,1533
1488000,1533
1492000,1533
1496000,1533
1500000,1533
1504000,1533
1512000,1533
1516000,1533
1524000,1533
1528000,1533
1532000,1533
1536000,1533
1540000,1533
1544000,1533
1548000,1533
1552000,1533
1556000,1533
1564000,1533
1572000,1533
1576000,1533
1584000,1533
1588000,1533
1592000,1533
1596000,1533
1600000,1533
1604000,1533
1608000,1533
1612000,1533
1616000,1533
1624000,1533
1632000,1533
1636000,1533
1640000,1533
1644000,1533
1648000,1533
1652000,1533
1656000,1533
1660000,1533
1664000,1533
1672000,1533
1676000,1533
1680000,1533
1688000,1533
1692000,1533
1696000,1533
1700000,1533
1704000,1533
1708000,1533
1716000,1533
1720000,1533
1728000,1533
1732000,1533
1736000,1533
1740000,1533
1744000,1533
1748000,1533
1752000,1533
1756000,1533
1764000,1533
1768000,1533
1772000,1533
1776000,1533
1780000,1533
1788000,1533
1792000,1533
1796000,1533
1804000,1533
1808000,1533
1816000,1533
1820000,1533
1824000,1533
1828000,1533
1836000,1533
1840000,1533
1844000,1533
1852000,1533
1856000,1533
1860000,1533
1868000,1533
1872000,1533
1880000,1533
1884000,1533
1888000,1533
1896000,1533
1900000,1533
1904000,1533
1908000,1533
1912000,1533
1920000,1533
1924000,1533
1928000,1533
1932000,1533
1940000,1533
1948000,1533
1956000,1533
1960000,1533
1964000,1533
1972000,1533
